ID,Severity,Distance(mi),City,State,Zipcode
A-2685162,2,0,Houston,TX,77047
A-541029,2,0,Elgin,TX,78621-9604
A-4484773,2,0.061,Orlando,FL,32803-6721
A-2591052,3,0,Atlanta,GA,30303
A-5543327,2,0.065,Downey,CA,90241
A-3862752,2,0.053,Burbank,CA,91502
A-7776219,4,0.664,Hayfork,CA,96041
A-2297574,2,0,Aurora,CO,80017
A-5749601,2,0.105,Charlotte,NC,28205-5812
A-2578695,3,0,Nyack,NY,10960
A-1087767,2,0,Los Angeles,CA,90031
A-4825663,2,0.116,Miami,FL,33186
A-5760123,4,0.26,Lehigh Acres,FL,33974-0753
A-3254815,2,0,Greensboro,NC,27410-5135
A-3090216,2,0,Long Beach,CA,90805
A-6258618,2,0.151,Austin,TX,78754
A-4379393,2,0.099,Homestead,FL,33032-4113
A-4525060,2,0.154,Miami,FL,33144-3603
A-4640312,2,0.8690000000000001,Highland,NY,12528
A-6208741,2,0.019,San Anselmo,CA,94960-1520
A-157042,3,0,Atlanta,GA,30354
A-1276736,4,0,Miami,FL,33179
A-726980,3,0,Dallas,TX,75240
A-6252912,2,0.105,Miami,FL,33169
A-1581234,2,0,Greenville,SC,29607-5737
A-287388,2,0,Houston,TX,77011
A-3270734,3,0,Danville,CA,94526
A-5246225,2,0.199,La Grande,OR,97850
A-799542,2,0,Nashville,TN,37211-5529
A-285856,2,0,Houston,TX,77004-5387
A-1062432,3,0,Edwardsville,IL,62025
A-3716874,2,0.067,Nokesville,VA,20181-2125
A-5788823,2,0.02,Miami,FL,33175-1909
A-591393,2,0,Elk River,MN,55330
A-1149531,2,0,Bloomingdale,IL,60108-1374
A-4289790,2,0.062,Los Angeles,CA,90044-1803
A-2691115,2,0,Novato,CA,94945
A-7400576,2,0,Sacramento,CA,95837-9319
A-1838427,2,0,Woodruff,SC,29388-9792
A-1914877,3,0,San Antonio,TX,78208
A-2840068,2,0,Oklahoma City,OK,73104-5007
A-3083876,2,0,Jefferson,SC,29718-8629
A-618208,1,0,Greenville,SC,29615-4116
A-6437887,4,1.307,East Hartford,CT,06108
A-6074515,2,1.37,Salt Lake City,UT,84104
A-861202,2,0,Richmond,VA,23221
A-6898045,2,0.529,Los Angeles,CA,90007
A-2304706,2,0,Raleigh,NC,27615-4065
A-2454166,2,0,Huntsville,AL,35811
A-945351,3,0,San Antonio,TX,78242
A-4495650,2,0.202,Hialeah,FL,33015-5101
A-1222191,3,0,Houston,TX,77094
A-5031637,2,0.8079999999999999,Flint,MI,48505
A-6848886,2,0.467,Ellicott City,MD,21042
A-6094450,2,1.24,Livermore,CA,94551
A-4087535,2,0.165,Fort Bragg,CA,95437
A-5402095,2,0.74,Battle Ground,WA,98604-9747
A-286512,2,0,Austin,TX,78723-2419
A-4702026,2,0.084,Carlisle,PA,17013
A-4814130,2,0.5479999999999999,Decatur,GA,30034
A-3382074,2,0,Saratoga,CA,95070
A-7276267,4,0.23,East Haddam,CT,06423-1454
A-5745093,2,0.069,Flint,MI,48502
A-7594563,2,0.322,Nashville,TN,37204
A-2254569,2,0,Flushing,MI,48433-1814
A-6014040,2,0.083,Clearwater,FL,33764-3104
A-5662322,2,0.1639999999999999,Miami,FL,33183
A-3397765,3,0,Providence,RI,02903
A-3544104,2,0.547,Brea,CA,92821
A-990059,2,0,West Columbia,SC,29170-2249
A-2506353,2,0.8000000119209291,Billerica,MA,01821-1128
A-5352455,2,0.098,Miami,FL,33142-2120
A-851093,3,0,Ronkonkoma,NY,11779
A-220632,2,0,West Hempstead,NY,11552
A-1424906,3,0.5,Hialeah,FL,33016-5827
A-5379550,2,0.095,Oneonta,AL,35121-1401
A-934673,2,0,Wilmington,MA,01887
A-3105025,2,0,Duson,LA,70529-3811
A-6871484,2,0.944,Hutchinson,MN,55350-5736
A-6247227,2,1.509,Santa Rosa Beach,FL,32459-5500
A-4953761,2,0.882,Saint Paul,MN,55112
A-3758929,2,2.067,Miami,FL,33126
A-5546260,2,1.109,New Kent,VA,23124
A-6663331,2,1.79,Edinburg,VA,22824
A-6369024,2,0.077,Lebanon,OR,97355
A-5173438,2,1.3119999999999998,Port Royal,VA,22535
A-243368,3,0.01,Pittsburgh,PA,15220
A-6372360,2,0.381,Warrenville,SC,29851-3240
A-3667076,2,0.995,Wilmington,CA,90744
A-6921744,2,1.6880000000000002,La Pine,OR,97739
A-7136645,1,0,Kissimmee,FL,34743-6055
A-6112,2,0.01,San Jose,CA,95110
A-1371334,2,0,Nashville,TN,37211-4614
A-5380743,2,2.7880000000000003,Independence,MO,64055
A-3396222,2,0,Okatie,SC,29909
A-6566340,2,0.097,Miami,FL,33175-6020
A-7086403,2,0,Los Angeles,CA,90042
A-5930853,2,0.648,Flint,MI,48507
A-3435277,4,1.002,Oklahoma City,OK,73160
A-2217781,2,0,Seattle,WA,98117-4237
A-5651097,2,0.73,Daleville,VA,24083
A-1502667,2,0,Baton Rouge,LA,70806-2953
A-2900671,3,0,Central Point,OR,97502
A-2703535,2,0,Tucson,AZ,85713-3810
A-5993009,2,0.043,New Orleans,LA,70113-2501
A-2007543,3,0,San Antonio,TX,78225
A-320163,3,0.01,Los Angeles,CA,90023
A-4499802,2,3.464,Bethesda,MD,20814
A-2999935,2,0,Salt Lake City,UT,84115
A-7699600,4,1.6469999999999998,Saint Peters,MO,63376
A-5445710,2,0.102,Orlando,FL,32839
A-2197311,2,0,Phoenix,AZ,85006
A-6620,2,0.01,Scotts Valley,CA,95066
A-2767652,3,0.6200000047683716,Tampa,FL,33604
A-4131277,2,0.421,Fort Worth,TX,76119
A-2525433,2,0,Morgan Hill,CA,95037
A-7617204,2,0.21,Ogden,UT,84403-2005
A-3403899,3,0,Lake Forest,CA,92630
A-6239704,2,2.449,San Diego,CA,92116-2232
A-2117077,2,0,Miami,FL,33175
A-1042122,2,2.25,Cincinnati,OH,45242
A-2064574,2,1.830000042915344,Greenbelt,MD,20770
A-4935002,2,1.041,Saint Clair Shores,MI,48080
A-655856,3,0,Hamburg,PA,19526
A-4742331,2,0.05,Dallas,TX,75238
A-4397987,2,1.21,Fowler,CA,93625
A-6053232,2,0.171,Los Angeles,CA,90002-2408
A-6323368,2,0.252,Lancaster,CA,93535-7327
A-7696733,3,0.523,Madison Heights,MI,48071
A-6487533,2,0.106,Miami,FL,33177-8117
A-6856002,2,0.003,Largo,FL,33778-4203
A-6296914,2,0.149,Charlotte,NC,28217-4117
A-3994066,2,2.189,Montgomery,AL,36104
A-177326,3,0,Maryland Heights,MO,63043
A-671111,3,0,Houston,TX,77056
A-708889,3,0,Mira Loma,CA,91752
A-6291340,2,0.24,Otis,OR,97368-9524
A-1662803,2,0,Minneapolis,MN,55425
A-5994961,2,0.016,Prattville,AL,36066-7264
A-7393769,2,0.121,Midvale,UT,84047
A-6940091,2,0.182,Huntington,WV,25705
A-2889448,2,0,Montebello,CA,90640
A-6991435,2,0,Mercer Island,WA,98040
A-6029319,2,0.759,Weldon,NC,27890
A-4297086,2,0.5720000000000001,San Diego,CA,92110-3020
A-3636455,2,0.5820000000000001,Hawthorne,CA,90250
A-814786,2,0,Austin,TX,78731
A-6453407,2,2.672,Bakersfield,CA,93307
A-4040449,2,1.729,Calhoun,GA,30701
A-1854965,2,0,Hermitage,TN,37076-2574
A-5394499,2,0.991,Portage,WI,53901
A-5994599,4,0.11,Wallace,NC,28466-3115
A-1479288,2,0,Phoenix,AZ,85034
A-3258414,2,0,Downers Grove,IL,60516
A-4244076,2,0.401,Atlanta,GA,30312
A-6741581,2,1.304,Waynesboro,VA,22980
A-2285792,2,0,San Antonio,TX,78232
A-5749513,4,0.504,Schroon Lake,NY,12870
A-6262609,2,0.313,Lake Villa,IL,60046-9152
A-3031107,3,0,Birmingham,AL,35210
A-7091187,2,0,Rockville,MD,20852-2239
A-2010313,2,0.9200000166893004,Commerce City,CO,80022
A-6566493,2,0.212,Chico,CA,95973-9054
A-7523253,2,0.919,Hobe Sound,FL,33455
A-5435613,2,0.512,Bonita,CA,91902
A-7713881,4,0.688,Torrington,CT,06790-2638
A-1718034,3,0,Camden,NJ,08104
A-6392749,2,0.121,Moorpark,CA,93021
A-837050,3,0,Providence,RI,02904
A-4137058,2,0.411,Milwaukee,WI,53221
A-1548849,2,0,San Diego,CA,92108
A-2680259,3,0,Austin,TX,78741
A-5073655,2,0.177,Meridian,ID,83642-6949
A-5222669,4,0.064,Asheville,NC,28803
A-3261883,2,0,Westminster,SC,29693-3901
A-6128042,2,1.272,Watchung,NJ,07069
A-4038715,2,1.3130000000000002,Miami,FL,33169
A-7284099,2,0,Los Angeles,CA,90012
A-5123470,2,0.653,Markham,VA,22643
A-5827479,2,0.256,Houston,TX,77063
A-2933792,3,0,Los Angeles,CA,90049
A-2401866,2,0,Tulsa,OK,74115-8626
A-2145410,2,0,Melbourne,FL,32940
A-7590421,2,0,Miami,FL,33168
A-2521847,2,0,Austin,TX,78704-3554
A-1250534,2,0,Milford,DE,19963-1424
A-5719798,2,0.249,San Diego,CA,92154
A-2846502,2,0,Grand Rapids,MI,49507
A-406151,3,0.01,Los Angeles,CA,90064
A-1719333,2,0,Spencer,OK,73084-9415
A-1312525,2,0,Memphis,TN,38118-6934
A-4903838,2,5.0360000000000005,Chapin,SC,29036
A-2369002,2,0,Chesapeake,VA,23321
A-7770005,4,1.954,Ocala,FL,34474
A-3479563,3,0.6859999999999999,Addison,IL,60101
A-4452207,2,4.296,Portland,OR,97220
A-3597456,2,0.657,Toano,VA,23168
A-6549924,2,0.009,Miami,FL,33165-2123
A-6694817,4,0.6990000000000001,Springfield,OR,97478-9642
A-1605666,2,0,Dover,FL,33527-6150
A-4674927,2,8.92,Phoenix,AZ,85029
A-6719568,2,0.115,Greenville,SC,29605
A-5051130,2,0.046,Miami,FL,33177-2009
A-3978072,2,0.388,Ellenton,FL,34222-2800
A-3199210,3,0,Albany,OR,97322
A-1900058,2,0.9499999880790708,Lewisburg,PA,17837
A-902628,2,0,Burlingame,CA,94010
A-4007611,2,0.126,Greer,SC,29651-5409
A-5675713,2,0.09,Miami Gardens,FL,33055-2931
A-5054992,2,10.797,Castro Valley,CA,94552
A-5587901,2,1.193,Hampton,VA,23663-1628
A-2276771,2,0,Raleigh,NC,27607
A-2997683,2,0,Los Angeles,CA,90061-1613
A-155890,3,0,Atlanta,GA,30327
A-5159139,2,1.7380000000000002,Plantsville,CT,06479
A-7360770,2,0,Sun Valley,CA,91352-3722
A-6709113,2,8.607000000000001,Widener,AR,72394
A-7423745,2,0.108,Goleta,CA,93117
A-2444195,3,0,Culver City,CA,90230
A-2419872,2,0,Houston,TX,77092
A-6104460,2,1.539,Laguna Hills,CA,92653
A-705192,3,0,Inglewood,CA,90301
A-4612497,2,0.229,West Columbia,SC,29172
A-1355229,2,0,Houston,TX,77063
A-1119430,3,0,Saraland,AL,36571
A-2080045,2,0,Apache Junction,AZ,85120
A-7016600,2,0,Charlotte,NC,28273
A-6624056,2,0.125,Charlotte,NC,28205-7707
A-7256150,2,0,Oakland,CA,94618
A-6005281,2,2.434,Pomona,CA,91768
A-3456770,3,0.652,Bowie,MD,20716
A-3329824,2,0,Syracuse,NY,13206-2223
A-6362719,2,0.207,Antioch,TN,37013-3702
A-5429213,2,0.369,Atlanta,GA,30315
A-4420320,4,0.282,Congress,AZ,85332
A-3172168,2,0,Austin,TX,78752
A-7510346,2,0.305,Baldwin Park,CA,91706
A-5102894,2,0.537,Ashburn,VA,20147
A-1418240,2,0,Houston,TX,77099-2844
A-5584276,2,1.131,Somerset,NJ,08873
A-4141862,2,0.157,Seattle,WA,98102
A-7005041,2,0,Los Angeles,CA,90022
A-7587451,4,0.237,Torrington,CT,06790-5412
A-4317505,2,0.01,Richmond,VA,23219-1889
A-233092,3,0.01,Arlington,VA,22202
A-702703,2,4.269999980926514,Exton,PA,19341
A-6917365,2,0.162,Leesburg,FL,34788
A-2946387,2,0,Bohemia,NY,11716
A-6727491,2,0.219,Greenville,SC,29609-3931
A-868930,2,0,Henrico,VA,23231-8453
A-2847508,2,0,Atlanta,GA,30328
A-6048798,2,0.095,Greenwood,SC,29646-2230
A-7522494,3,0.534,Midlothian,TX,76065
A-1034872,3,1.0700000524520874,Los Angeles,CA,90015-2825
A-2270815,2,0,Brookfield,WI,53005
A-2222502,2,0,Raleigh,NC,27610-1427
A-4020117,2,4.291,Donaldson,AR,71941
A-628816,3,0,Fort Lauderdale,FL,33312
A-2309012,2,0,Norristown,PA,19401-4414
A-3691171,2,0.023,Huntington Park,CA,90255-6302
